Order_ID,Order_Date,Discount,Subtotal,Total,payment,Purchase_Status,Customer_Id,Customer_Name,City,State,Region,Services,P_Sevice,D_Forecast,D_Date,Status,Product,Quantity,Price,Product_Name,Category,Subcategory,lead_time,is_late,Mes
1,2025-04-12 00:52:33,0.1048,3958.2,3586.28,Credito,Processando,C00001,Catarina Oliveira,Sena Madureira,AC,Norte,Same-Day,42.9,2025-05-03 14:45:17,2025-05-03 14:45:17,A Caminho,Samsung Galaxy A36,2,1979.1,Samsung Galaxy A36,Eletrônicos,"Celulares, Tablets e Acessórios",21,False,2025-04
2,2025-05-05 01:02:38,0.1141,1799.01,1636.64,PIX,Em Analise,C00002,Igor Cunha,Campina Grande,PB,Nordeste,Same-Day,42.9,2025-05-14 07:31:07,2025-05-17 07:31:07,Entregue,Samsung Galaxy Tab S6 Lite,1,1799.01,Samsung Galaxy Tab S6 Lite,Eletrônicos,"Celulares, Tablets e Acessórios",12,True,2025-05
3,2025-04-27 23:05:38,0.0686,2144.0,2019.82,Boleto,Cancelado,C00003,Isis Barbosa,Cantá,RR,Norte,Standard,22.9,2025-05-10 15:29:43,2025-05-10 15:29:43,A Caminho,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0,"Soundbar Samsung com 2.1 canais, Dolby Digital",Eletrônicos,Áudio e Vídeo,12,False,2025-04
4,2025-04-10 02:42:52,0.0264,199.6,237.23,Debito,Processando,C00004,Evelyn da Luz,Cacoal,RO,Norte,Same-Day,42.9,2025-05-07 16:01:14,2025-05-10 16:01:14,Entregue,Carregador Turbo USB-C 30W,4,49.9,Carregador Turbo USB-C 30W,Eletrônicos,"Celulares, Tablets e Acessórios",30,True,2025-04
7,2025-03-18 05:42:47,0.0913,5397.03,4947.18,Boleto,Em Analise,C00007,Felipe Souza,Ji-Paraná,RO,Norte,Same-Day,42.9,2025-04-26 02:07:24,2025-04-29 02:07:24,Entregue,Samsung Galaxy Tab S6 Lite,3,1799.01,Samsung Galaxy Tab S6 Lite,Eletrônicos,"Celulares, Tablets e Acessórios",41,True,2025-03
8,2025-02-27 06:54:32,0.0106,9208.0,9143.39,PIX,Confirmado,C00008,Brenda da Rocha,Ponta Grossa,PR,Sul,Scheduled,32.99,2025-05-03 10:22:08,2025-05-05 10:22:08,A Caminho,ACER Notebook Gamer Nitro,2,4604.0,ACER Notebook Gamer Nitro,Eletrônicos,Informática,67,True,2025-02
10,2025-04-16 20:57:08,0.1448,9149.97,7867.95,PIX,Cancelado,C00010,Thales Gomes,Pelotas,RS,Sul,Same-Day,42.9,2025-05-11 06:11:00,2025-05-14 06:11:00,A Caminho,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99,"Projetor Smart Epson EpiqVision, FULL HD",Eletrônicos,Áudio e Vídeo,27,True,2025-04
11,2025-04-16 02:03:43,0.0228,4316.0,4260.5,Debito,Em Analise,C00011,Natália Martins,Patos,PB,Nordeste,Same-Day,42.9,2025-04-14 07:35:31,2025-04-18 07:35:31,Atrasado,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0,"Smart TV LED 32""Samsung LED Tizen TV",Eletrônicos,Áudio e Vídeo,2,True,2025-04
12,2025-03-25 09:52:22,0.0442,1539.8,1504.73,Credito,Confirmado,C00012,Gabriela Nogueira,Tarauacá,AC,Norte,Scheduled,32.99,2025-04-25 00:24:52,2025-04-29 00:24:52,Atrasado,"Soundbar Tomate MTS-2017, Bivolt",2,769.9,"Soundbar Tomate MTS-2017, Bivolt",Eletrônicos,Áudio e Vídeo,34,True,2025-03
14,2025-02-26 12:39:38,0.0615,4316.0,4093.47,Boleto,Processando,C00014,Dr. Gabriel Gomes,Cachoeiro de Itapemirim,ES,Sudeste,Same-Day,42.9,2025-05-11 16:28:28,2025-05-13 16:28:28,Trânsito,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0,"Smart TV LED 32""Samsung LED Tizen TV",Eletrônicos,Áudio e Vídeo,76,True,2025-02
15,2025-03-05 23:27:59,0.0272,259.72,295.56,Credito,Processando,C00015,Giovanna Aragão,Belém,PA,Norte,Same-Day,42.9,2025-04-28 11:37:36,2025-05-01 11:37:36,Trânsito,Fone de ouvido Sem Fio QCY T27,2,129.86,Fone de ouvido Sem Fio QCY T27,Eletrônicos,"Celulares, Tablets e Acessórios",56,True,2025-03
16,2025-03-06 14:45:45,0.0701,103.6,119.24,Debito,Cancelado,C00016,Francisco das Neves,Nova Iguaçu,RJ,Sudeste,Standard,22.9,2025-04-30 05:10:29,2025-05-05 05:10:29,Atrasado,Película para iPhone 14Pro Anti impacto,2,51.8,Película para iPhone 14Pro Anti impacto,Eletrônicos,"Celulares, Tablets e Acessórios",59,True,2025-03
17,2025-02-28 06:40:58,0.0853,3253.14,3008.64,Boleto,Confirmado,C00017,Emanuel Duarte,Fortaleza,CE,Nordeste,Scheduled,32.99,2025-05-05 01:49:22,2025-05-09 01:49:22,Trânsito,"Monitor UHD Samsung 32""",2,1626.57,"Monitor UHD Samsung 32""",Eletrônicos,Informática,69,True,2025-02
18,2025-03-11 05:37:17,0.0679,107.8,143.38,Credito,Processando,C00018,Pedro Lucas das Neves,Recife,PE,Nordeste,Same-Day,42.9,2025-04-19 06:49:11,2025-04-23 06:49:11,Trânsito,Carregador Turbo Tipo-C 50w,2,53.9,Carregador Turbo Tipo-C 50w,Eletrônicos,"Celulares, Tablets e Acessórios",43,True,2025-03
19,2025-05-08 04:47:07,0.1378,249.82,238.29,Credito,Cancelado,C00019,Nina Rodrigues,Sobral,CE,Nordeste,Standard,22.9,2025-05-07 11:50:38,2025-05-10 11:50:38,Trânsito,"Fone de Ouvido Sem Fio TWS, PHILIPS",2,124.91,"Fone de Ouvido Sem Fio TWS, PHILIPS",Eletrônicos,"Celulares, Tablets e Acessórios",2,True,2025-05
20,2025-03-10 10:30:01,0.0427,149.7,186.21,Credito,Em Analise,C00020,Sra. Clara da Conceição,São Bernardo do Campo,SP,Sudeste,Same-Day,42.9,2025-05-08 15:34:41,2025-05-13 15:34:41,Atrasado,Carregador Turbo USB-C 30W,3,49.9,Carregador Turbo USB-C 30W,Eletrônicos,"Celulares, Tablets e Acessórios",64,True,2025-03
